Year,Activity,Energy,Value,Unit
2014,Transport Routier,Produits pétroliers,2598610.1,kg
2015,Agriculture,Aucune énergie,222.9,kg
2015,Agriculture,Gaz Naturel,168.3,kg
2015,Agriculture,Produits pétroliers,248.6,kg
2015,Biogénique,Aucune énergie,1758.8,kg
2015,Ferroviaire,Produits pétroliers,25409.7,kg
2015,Incendies de foret,Aucune énergie,326.8,kg
2015,Industrie,Aucune énergie,19889.5,kg
2015,Industrie,Autres énergies renouvelables (EnR),24123.3,kg
2015,Industrie,Bois-énergie (EnR),25725.6,kg
2015,Industrie,Gaz Naturel,155360.5,kg
2015,Industrie,Produits pétroliers,140655.6,kg
2015,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,683262,kg
2015,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1493019.7,kg
2015,Production d'énergie,Gaz Naturel,1384.7,kg
2015,Résidentiel,Aucune énergie,1949,kg
2015,Résidentiel,Autres énergies renouvelables (EnR),10462.2,kg
2015,Résidentiel,Bois-énergie (EnR),36884.9,kg
2015,Résidentiel,Gaz Naturel,181695.8,kg
2015,Résidentiel,Produits pétroliers,50791.1,kg
2015,Tertiaire,Aucune énergie,1318.2,kg
2015,Tertiaire,Bois-énergie (EnR),1210.5,kg
2015,Tertiaire,Gaz Naturel,184494.7,kg
2015,Tertiaire,Produits pétroliers,56559.5,kg
2015,Transport Routier,Gaz Naturel,8586.8,kg
2015,Transport Routier,Produits pétroliers,2621386,kg
2016,Agriculture,Aucune énergie,208.7,kg
2016,Agriculture,Gaz Naturel,134.1,kg
2016,Agriculture,Produits pétroliers,207.2,kg
2016,Biogénique,Aucune énergie,1758.8,kg
2016,Ferroviaire,Produits pétroliers,22234.9,kg
2016,Incendies de foret,Aucune énergie,31267.5,kg
2016,Industrie,Aucune énergie,22689.8,kg
2016,Industrie,Autres énergies renouvelables (EnR),23994.2,kg
2016,Industrie,Bois-énergie (EnR),33337,kg
2016,Industrie,Gaz Naturel,144222.2,kg
2016,Industrie,Produits pétroliers,144429,kg
2016,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,819736.8,kg
2016,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1465429.5,kg
2016,Production d'énergie,Bois-énergie (EnR),4290.1,kg
2016,Production d'énergie,Gaz Naturel,3182.3,kg
2016,Résidentiel,Aucune énergie,1931.4,kg
2016,Résidentiel,Autres énergies renouvelables (EnR),10170.8,kg
2016,Résidentiel,Bois-énergie (EnR),37093.1,kg
2016,Résidentiel,Gaz Naturel,173354.3,kg
2016,Résidentiel,Produits pétroliers,41881.7,kg
2016,Tertiaire,Aucune énergie,1287.8,kg
2016,Tertiaire,Bois-énergie (EnR),1300,kg
2016,Tertiaire,Gaz Naturel,181356.6,kg
2016,Tertiaire,Produits pétroliers,47568.6,kg
2016,Transport Routier,Gaz Naturel,9138.5,kg
2016,Transport Routier,Produits pétroliers,2578670.9,kg
2017,Agriculture,Aucune énergie,244.7,kg
2017,Agriculture,Gaz Naturel,153.2,kg
2017,Agriculture,Produits pétroliers,142.6,kg
2017,Biogénique,Aucune énergie,1758.8,kg
2017,Ferroviaire,Produits pétroliers,23009,kg
2017,Incendies de foret,Aucune énergie,1226.3,kg
2017,Industrie,Aucune énergie,27092.8,kg
2017,Industrie,Autres énergies renouvelables (EnR),20630.8,kg
2017,Industrie,Bois-énergie (EnR),34355.1,kg
2017,Industrie,Gaz Naturel,132525.9,kg
2017,Industrie,Produits pétroliers,128066.4,kg
2017,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,785219.2,kg
2017,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1260054.5,kg
2017,Production d'énergie,Bois-énergie (EnR),4564.6,kg
2017,Production d'énergie,Gaz Naturel,4205,kg
2017,Production d'énergie,Produits pétroliers,185.1,kg
2017,Résidentiel,Aucune énergie,1909.3,kg
2017,Résidentiel,Autres énergies renouvelables (EnR),9222.2,kg
2017,Résidentiel,Bois-énergie (EnR),36879.6,kg
2017,Résidentiel,Gaz Naturel,174152.4,kg
2017,Résidentiel,Produits pétroliers,43582.7,kg
2017,Tertiaire,Aucune énergie,1428.7,kg
2017,Tertiaire,Bois-énergie (EnR),1265.8,kg
2017,Tertiaire,Gaz Naturel,189971.3,kg
2017,Tertiaire,Produits pétroliers,49723.1,kg
2017,Transport Routier,Gaz Naturel,9503.6,kg
2017,Transport Routier,Produits pétroliers,2407962.5,kg
2018,Agriculture,Aucune énergie,244.7,kg
2018,Agriculture,Gaz Naturel,155,kg
2018,Agriculture,Produits pétroliers,193.7,kg
2018,Biogénique,Aucune énergie,1758.8,kg
2018,Ferroviaire,Produits pétroliers,23009,kg
2018,Incendies de foret,Aucune énergie,391.8,kg
2018,Industrie,Aucune énergie,23246.7,kg
2018,Industrie,Autres énergies renouvelables (EnR),19115.3,kg
2018,Industrie,Bois-énergie (EnR),32959.8,kg
2018,Industrie,Gaz Naturel,138216.7,kg
2018,Industrie,Produits pétroliers,123746.2,kg
2018,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,638773.5,kg
2018,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1490396.3,kg
2018,Production d'énergie,Bois-énergie (EnR),5974.5,kg
2018,Production d'énergie,Gaz Naturel,4927.3,kg
2018,Résidentiel,Aucune énergie,1819,kg
2018,Résidentiel,Autres énergies renouvelables (EnR),10005.5,kg
2018,Résidentiel,Bois-énergie (EnR),34309.2,kg
2018,Résidentiel,Gaz Naturel,165571.6,kg
2018,Résidentiel,Produits pétroliers,40618.9,kg
2018,Tertiaire,Aucune énergie,1635.5,kg
2018,Tertiaire,Bois-énergie (EnR),1238,kg
2018,Tertiaire,Gaz Naturel,182995.6,kg
2018,Tertiaire,Produits pétroliers,49034.4,kg
2018,Transport Routier,Gaz Naturel,10532.4,kg
2018,Transport Routier,Produits pétroliers,2287607.2,kg
2019,Agriculture,Aucune énergie,244.7,kg
2019,Agriculture,Gaz Naturel,162.3,kg
2019,Agriculture,Produits pétroliers,263.4,kg
2019,Biogénique,Aucune énergie,1758.8,kg
2019,Ferroviaire,Produits pétroliers,23009,kg
2019,Incendies de foret,Aucune énergie,663.2,kg
2019,Industrie,Aucune énergie,23460.7,kg
2019,Industrie,Autres énergies renouvelables (EnR),17548.3,kg
2019,Industrie,Bois-énergie (EnR),29121.8,kg
2019,Industrie,Gaz Naturel,118507.5,kg
2019,Industrie,Produits pétroliers,193751.9,kg
2019,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,680906.2,kg
2019,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1536036.4,kg
2019,Production d'énergie,Bois-énergie (EnR),14922.9,kg
2019,Production d'énergie,Gaz Naturel,9310.8,kg
2019,Résidentiel,Aucune énergie,1743.3,kg
2019,Résidentiel,Autres énergies renouvelables (EnR),10973,kg
2019,Résidentiel,Bois-énergie (EnR),35015.2,kg
2019,Résidentiel,Gaz Naturel,160340.5,kg
2019,Résidentiel,Produits pétroliers,36959.7,kg
2019,Tertiaire,Aucune énergie,1634.8,kg
2019,Tertiaire,Bois-énergie (EnR),1239.9,kg
2019,Tertiaire,Gaz Naturel,184961.3,kg
2019,Tertiaire,Produits pétroliers,43539.4,kg
2019,Transport Routier,Gaz Naturel,12073,kg
2019,Transport Routier,Produits pétroliers,2136360.9,kg
2020,Agriculture,Aucune énergie,244.7,kg
2020,Agriculture,Gaz Naturel,1801,kg
2020,Agriculture,Produits pétroliers,171.6,kg
2020,Biogénique,Aucune énergie,1758.8,kg
2020,Ferroviaire,Produits pétroliers,23009,kg
2020,Incendies de foret,Aucune énergie,356.9,kg
2020,Industrie,Aucune énergie,21765.8,kg
2020,Industrie,Autres énergies renouvelables (EnR),15626.1,kg
2020,Industrie,Bois-énergie (EnR),28903.8,kg
2020,Industrie,Gaz Naturel,127909.5,kg
2020,Industrie,Produits pétroliers,140835.1,kg
2020,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,942674.1,kg
2020,Maritime - quai/rade/manoeuvre international,Produits pétroliers,2049050.1,kg
2020,Production d'énergie,Bois-énergie (EnR),5365.3,kg
2020,Production d'énergie,Gaz Naturel,2784.7,kg
2020,Résidentiel,Aucune énergie,1646.1,kg
2020,Résidentiel,Autres énergies renouvelables (EnR),9393.3,kg
2020,Résidentiel,Bois-énergie (EnR),31002.4,kg
2020,Résidentiel,Gaz Naturel,119975.8,kg
2020,Résidentiel,Produits pétroliers,33766,kg
2020,Tertiaire,Aucune énergie,1629.7,kg
2020,Tertiaire,Bois-énergie (EnR),1187.3,kg
2020,Tertiaire,Gaz Naturel,231010.2,kg
2020,Tertiaire,Produits pétroliers,41820.2,kg
